Input,Output,Frequency,DEP-[ə]/S_T,C//V,C/V,L-ANCHOR,CONTIGUITY,DEP-[ə]/S_N,DEP-[ə]/S_L,DEP-[ə]/S_W,DEP-[ə]/O_R,COMPLEX
beautiful,beautiful,28,0,1,1,0,0,0,0,0,0,1
beautiful,beeautiful,2,0,0,0,0,1,0,0,0,1,0
beautiful,ebeautiful,0,0,0,1,1,0,0,0,0,0,0
breeze,breeze,25,0,1,1,0,0,0,0,0,0,1
breeze,bereeze,5,0,0,0,0,1,0,0,0,1,0
breeze,ebreeze,0,0,0,1,1,0,0,0,0,0,0
bring,bring,25,0,1,1,0,0,0,0,0,0,1
bring,bering,5,0,0,0,0,1,0,0,0,1,0
bring,ebring,0,0,0,1,1,0,0,0,0,0,0
brings,brings,26,0,1,1,0,0,0,0,0,0,1
brings,berings,4,0,0,0,0,1,0,0,0,1,0
brings,ebrings,0,0,0,1,1,0,0,0,0,0,0
brother,brother,27,0,1,1,0,0,0,0,0,0,1
brother,berother,3,0,0,0,0,1,0,0,0,1,0
brother,ebrother,0,0,0,1,1,0,0,0,0,0,0
bugle,bugle,16,0,1,1,0,0,0,0,0,0,1
bugle,beugle,0,0,0,0,0,1,0,0,0,1,0
bugle,ebugle,0,0,0,1,1,0,0,0,0,0,0
clean,clean,25,0,1,1,0,0,0,0,0,0,1
clean,celean,5,0,0,0,0,1,0,0,0,1,0
clean,eclean,0,0,0,1,1,0,0,0,0,0,0
creek,creek,26,0,1,1,0,0,0,0,0,0,1
creek,cereek,4,0,0,0,0,1,0,0,0,1,0
creek,ecreek,0,0,0,1,1,0,0,0,0,0,0
cute,cute,29,0,1,1,0,0,0,0,0,0,1
cute,ceyute,1,0,0,0,0,1,0,0,0,1,0
cute,ecute,0,0,0,1,1,0,0,0,0,0,0
dreaming,dreaming,25,0,1,1,0,0,0,0,0,0,1
dreaming,dereaming,5,0,0,0,0,1,0,0,0,1,0
dreaming,edreaming,0,0,0,1,1,0,0,0,0,0,0
drink,drink,25,0,1,1,0,0,0,0,0,0,1
drink,derink,5,0,0,0,0,1,0,0,0,1,0
drink,edrink,0,0,0,1,1,0,0,0,0,0,0
dwarf,dwarf,21,0,1,1,0,0,0,0,0,0,1
dwarf,dewarf,3,0,0,0,0,1,0,0,0,1,0
dwarf,edwarf,0,0,0,1,1,0,0,0,0,0,0
dwayne,dwayne,12,0,1,1,0,0,0,0,0,0,1
dwayne,dewayne,10,0,0,0,0,1,0,0,0,1,0
dwayne,edwayne,0,0,0,1,1,0,0,0,0,0,0
flickering,flickering,25,0,1,1,0,0,0,0,0,0,1
flickering,felickering,5,0,0,0,0,1,0,0,0,1,0
flickering,eflickering,0,0,0,1,1,0,0,0,0,0,0
flock,flock,26,0,1,1,0,0,0,0,0,0,1
flock,felock,4,0,0,0,0,1,0,0,0,1,0
flock,eflock,0,0,0,1,1,0,0,0,0,0,0
floor,floor,25,0,1,1,0,0,0,0,0,0,1
floor,feloor,5,0,0,0,0,1,0,0,0,1,0
floor,efloor,0,0,0,1,1,0,0,0,0,0,0
fly,fly,26,0,1,1,0,0,0,0,0,0,1
fly,fely,4,0,0,0,0,1,0,0,0,1,0
fly,efly,0,0,0,1,1,0,0,0,0,0,0
flying,flying,26,0,1,1,0,0,0,0,0,0,1
flying,felying,4,0,0,0,0,1,0,0,0,1,0
flying,eflying,0,0,0,1,1,0,0,0,0,0,0
freaks,freaks,26,0,1,1,0,0,0,0,0,0,1
freaks,fereaks,4,0,0,0,0,1,0,0,0,1,0
freaks,efreaks,0,0,0,1,1,0,0,0,0,0,0
gloves,gloves,25,0,1,1,0,0,0,0,0,0,1
gloves,geloves,5,0,0,0,0,1,0,0,0,1,0
gloves,egloves,0,0,0,1,1,0,0,0,0,0,0
grabs,grabs,24,0,1,1,0,0,0,0,0,0,1
grabs,gerabs,6,0,0,0,0,1,0,0,0,1,0
grabs,egrabs,0,0,0,1,1,0,0,0,0,0,0
ground,ground,25,0,1,1,0,0,0,0,0,0,1
ground,geround,5,0,0,0,0,1,0,0,0,1,0
ground,eground,0,0,0,1,1,0,0,0,0,0,0
place,place,24,0,1,1,0,0,0,0,0,0,1
place,pelace,6,0,0,0,0,1,0,0,0,1,0
place,eplace,0,0,0,1,1,0,0,0,0,0,0
please,please,25,0,1,1,0,0,0,0,0,0,1
please,pelease,5,0,0,0,0,1,0,0,0,1,0
please,eplease,0,0,0,1,1,0,0,0,0,0,0
plethora,plethora,23,0,1,1,0,0,0,0,0,0,1
plethora,pelethora,7,0,0,0,0,1,0,0,0,1,0
plethora,eplethora,0,0,0,1,1,0,0,0,0,0,0
quacks,quacks,24,0,1,1,0,0,0,0,0,0,1
quacks,qeuaks,4,0,0,0,0,1,0,0,0,1,0
quacks,equacks,0,0,0,1,1,0,0,0,0,0,0
queen,queen,27,0,1,1,0,0,0,0,0,0,1
queen,qeueen,3,0,0,0,0,1,0,0,0,1,0
queen,equeen,0,0,0,1,1,0,0,0,0,0,0
quickly,quickly,26,0,1,1,0,0,0,0,0,0,1
quickly,qeuickly,3,0,0,0,0,1,0,0,0,1,0
quickly,equickly,0,0,0,1,1,0,0,0,0,0,0
scarlett,scarlett,19,0,1,1,0,0,0,0,0,0,1
scarlett,secarlett,0,1,0,0,0,1,0,0,0,0,0
scarlett,escarlett,10,0,0,1,1,0,0,0,0,0,0
scoop,scoop,25,0,1,1,0,0,0,0,0,0,1
scoop,secoop,0,1,0,0,0,1,0,0,0,0,0
scoop,escoop,5,0,0,1,1,0,0,0,0,0,0
skeptical,skeptical,20,0,1,1,0,0,0,0,0,0,1
skeptical,sekeptical,0,1,0,0,0,1,0,0,0,0,0
skeptical,eskeptical,10,0,0,1,1,0,0,0,0,0,0
skin,skin,21,0,1,1,0,0,0,0,0,0,1
skin,sekin,0,1,0,0,0,1,0,0,0,0,0
skin,eskin,9,0,0,1,1,0,0,0,0,0,0
skip,skip,25,0,1,1,0,0,0,0,0,0,1
skip,sekip,0,1,0,0,0,1,0,0,0,0,0
skip,eskip,5,0,0,1,1,0,0,0,0,0,0
sleep,sleep,27,0,1,1,0,0,0,0,0,0,1
sleep,seleep,0,0,0,0,0,1,0,1,0,0,0
sleep,esleep,3,0,0,1,1,0,0,0,0,0,0
slips,slips,25,0,1,1,0,0,0,0,0,0,1
slips,selips,0,0,0,0,0,1,0,1,0,0,0
slips,eslips,4,0,0,1,1,0,0,0,0,0,0
sloth,sloth,25,0,1,1,0,0,0,0,0,0,1
sloth,seloth,0,0,0,0,0,1,0,1,0,0,0
sloth,esloth,5,0,0,1,1,0,0,0,0,0,0
slouched,slouched,24,0,1,1,0,0,0,0,0,0,1
slouched,selouched,0,0,0,0,0,1,0,1,0,0,0
slouched,eslouched,6,0,0,1,1,0,0,0,0,0,0
slow,slow,25,0,1,1,0,0,0,0,0,0,1
slow,selow,0,0,0,0,0,1,0,1,0,0,0
slow,eslow,5,0,0,1,1,0,0,0,0,0,0
slugs,slugs,25,0,1,1,0,0,0,0,0,0,1
slugs,selugs,0,0,0,0,0,1,0,1,0,0,0
slugs,eslugs,5,0,0,1,1,0,0,0,0,0,0
smacked,smacked,23,0,1,1,0,0,0,0,0,0,1
smacked,semacked,0,0,0,0,0,1,1,0,0,0,0
smacked,esmacked,7,0,0,1,1,0,0,0,0,0,0
small,small,48,0,1,1,0,0,0,0,0,0,1
small,semall,0,0,0,0,0,1,1,0,0,0,0
small,esmall,12,0,0,1,1,0,0,0,0,0,0
smelling,smelling,25,0,1,1,0,0,0,0,0,0,1
